2022,3,23,1,1,2,1,59000,1
2022,3,23,2,2,4,1,35000,1
2022,3,23,2,2,5,1,15000,1
2022,3,23,2,2,2,2,90000,1
2022,3,23,1,1,1,1,47000,1
2022,3,23,1,1,4,2,94000,1
2022,3,24,1,1,1,3,57000,2
2022,3,24,1,2,2,1,15000,3
2022,3,24,1,2,3,4,19000,4
2022,3,24,2,2,4,5,47000,5
2022,3,24,2,1,5,1,38000,6
2022,3,24,2,1,1,5,109000,1
2022,3,24,1,2,2,7,159000,2
2022,3,24,1,1,3,8,169000,3
2022,3,24,2,2,4,2,47000,4
2022,3,24,1,1,5,1,89000,5
2022,3,25,1,2,1,2,90000,2
2022,3,25,2,1,2,6,47000,4
2022,3,25,1,2,3,9,94000,1
